"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km)";"Gezondheid en welzijn/Afstand tot apotheek (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Afstand tot consultatiebureau (km)";"Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 1 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 3 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Afstand tot warenhuis (km)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 10 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 20 km (aantal)";"Horeca/Cafés en dergelijke/Afstand tot café e.d. (km)";"Horeca/Cafés en dergelijke/Aantal cafés/Binnen 1 km (aantal)";"Horeca/Cafés en dergelijke/Aantal cafés/Binnen 3 km (aantal)";"Horeca/Cafés en dergelijke/Aantal cafés/Binnen 5 km (aantal)";"Horeca/Cafetaria's en dergelijke/Afstand tot cafetaria e.d. (km)";"Horeca/Cafetaria's en dergelijke/Aantal cafetaria's e.d./Binnen 1 km (aantal)";"Horeca/Cafetaria's en dergelijke/Aantal cafetaria's e.d./Binnen 3 km (aantal)";"Horeca/Cafetaria's en dergelijke/Aantal cafetaria's e.d./Binnen 5 km (aantal)";"Horeca/Restaurants/Afstand tot restaurant (km)";"Horeca/Restaurants/Aantal restaurants/Binnen 1 km (aantal)";"Horeca/Restaurants/Aantal restaurants/Binnen 3 km (aantal)";"Horeca/Restaurants/Aantal restaurants/Binnen 5 km (aantal)";"Horeca/Hotels en dergelijke/Afstand tot hotel e.d. (km)";"Horeca/Hotels en dergelijke/Aantal hotels e.d./Binnen 5 km (aantal)";"Horeca/Hotels en dergelijke/Aantal hotels e.d./Binnen 10 km (aantal)";"Horeca/Hotels en dergelijke/Aantal hotels e.d./Binnen 20 km (aantal)";"Kinderopvang/Kinderdagverblijf/Afstand tot kinderdagverblijf (km)";"Kinderopvang/Kinderdagverblijf/Aantal kinderdagverblijven/Binnen 1 km (aantal)";"Kinderopvang/Kinderdagverblijf/Aantal kinderdagverblijven/Binnen 3 km (aantal)";"Kinderopvang/Kinderdagverblijf/Aantal kinderdagverblijven/Binnen 5 km (aantal)";"Kinderopvang/Buitenschoolse opvang/Afstand tot buitenschoolse opvang (km)";"Kinderopvang/Buitenschoolse opvang/Aantal buitenschoolse opvang/Binnen 1 km (aantal)";"Kinderopvang/Buitenschoolse opvang/Aantal buitenschoolse opvang/Binnen 3 km (aantal)";"Kinderopvang/Buitenschoolse opvang/Aantal buitenschoolse opvang/Binnen 5 km (aantal)";"Onderwijs/Basisonderwijs/Afstand tot school (km)";"Onderwijs/Basisonderwijs/Aantal scholen/Binnen 1 km (aantal)";"Onderwijs/Basisonderwijs/Aantal scholen/Binnen 3 km (aantal)";"Onderwijs/Basisonderwijs/Aantal scholen/Binnen 5 km (aantal)";"Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Afstand tot school (km)";"Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Aantal scholen/Binnen 3 km (aantal)";"Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Aantal scholen/Binnen 5 km (aantal)";"Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Aantal scholen/Binnen 10 km (aantal)";"Onderwijs/Voortgezet onderwijs/Vmbo/Afstand tot school (km)";"Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 3  km (aantal)";"Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 5  km (aantal)";"Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 10  km (aantal)";"Onderwijs/Voortgezet onderwijs/Havo/vwo/Afstand tot school (km)";"Onderwijs/Voortgezet onderwijs/Havo/vwo/Aantal scholen/Binnen 3 km (aantal)";"Onderwijs/Voortgezet onderwijs/Havo/vwo/Aantal scholen/Binnen 5 km (aantal)";"Onderwijs/Voortgezet onderwijs/Havo/vwo/Aantal scholen/Binnen 10 km (aantal)";"Groenvoorzieningen/Openbaar groen/Afstand tot openbaar groen totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot park of plantsoen (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot dagrecreatief terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot bos (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat. terrein totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open droog nat. terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat natuurlijk terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot semi-openbaar groen totaal (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot sportterrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot volkstuin (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot verblijfsrecreatief terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot begraafplaats (km)";"Groenvoorzieningen/Afstand tot recreatief binnenwater (km)";"Verkeer en vervoer/Afstand tot oprit hoofdverkeersweg (km)";"Verkeer en vervoer/Treinstations/Afstand tot treinstations totaal (km)";"Verkeer en vervoer/Treinstations/Afstand tot belangrijk overstapstation (km)";"Vrije tijd en cultuur/Afstand tot bibliotheek (km)";"Vrije tijd en cultuur/Sport/Afstand tot zwembad (km)";"Vrije tijd en cultuur/Sport/Afstand tot kunstijsbaan (km)";"Vrije tijd en cultuur/Museum/Afstand tot museum (km)";"Vrije tijd en cultuur/Museum/Aantal musea/Binnen 5 km (aantal)";"Vrije tijd en cultuur/Museum/Aantal musea/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Museum/Aantal musea/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot podiumkunsten totaal (km)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 5 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot poppodium (km)";"Vrije tijd en cultuur/Bioscoop/Afstand tot bioscoop (km)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 5 km (aantal)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Recreatie/Afstand tot sauna (km)";"Vrije tijd en cultuur/Recreatie/Afstand tot zonnebank (km)";"Vrije tijd en cultuur/Recreatie/Afstand tot attractie (km)";"Vrije tijd en cultuur/Recreatie/Aantal attracties/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Recreatie/Aantal attracties/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Recreatie/Aantal attracties/Binnen 50 km (aantal)";"Afstand tot brandweerkazerne (km)"
"Nederland";"Nederland                               ";"Land      ";"NL00      ";".";1;1,7;9,6;20,2;6,3;1,2;4,8;1,2;3;8,8;7,1;0,7;1,8;4,6;;;;;;0,9;2;11,1;23,3;0,8;9,1;53,7;111,7;2,6;2,8;7,3;21,2;1,2;4,6;30,5;62;0,8;7,1;47,1;97,6;0,8;9,5;66,1;137,2;2,4;17,8;41;95,8;0,6;3,6;22,5;49,4;0,7;2,6;15,6;34,6;0,7;2;10,9;23,6;2,4;3,9;8,2;20,4;2,5;3;6,3;15,8;3,3;2;4,1;10,2;;;;;;;;;;;;;;1,8;5,1;13,6;1,9;3,2;18,5;3,9;3,5;8,2;21,5;4,8;3,1;7;16,2;10,9;6,3;1,3;2,9;7,4;8,1;4,1;5,8;2,7;7,9;35,9;2,1
"Utrecht";"Utrecht                                 ";"Gemeente  ";"GM0344    ";".";0,6;2;14,4;32,1;3,5;0,7;2,4;2,2;6,7;12,5;3,4;1,5;4,7;8,8;;;;;;0,6;3,2;24;51,5;0,5;13,4;105,8;222,2;1,6;7;15,2;29,6;0,9;5,1;40,8;78,2;0,5;13,3;110;222,6;0,5;20,4;172,5;337,6;1,9;19,5;33,1;65,3;0,4;7;51,4;115,2;0,5;4,6;36,3;86,3;0,5;3,1;22,1;52,1;1,2;5,4;12,1;29,6;1,4;3,3;7,4;20,7;1,5;3,4;7,5;16,8;;;;;;;;;;;;;;2;1,7;3,8;1,2;2,2;5,8;2,8;7,1;13,5;27;1,9;6,1;10,2;19,1;3,3;2,1;5,1;8,8;13,3;3,8;1,3;3,5;4,9;10,2;52,3;1,7
"Wijk 01 West";"Utrecht                                 ";"Wijk      ";"WK034401  ";"1";0,5;1,4;14,1;42,3;3,6;0,6;3,6;2,6;7,7;12;3,6;1,8;5,7;9;;;;;;0,5;4,5;33,9;73,1;0,3;21,8;164,9;305,3;1,5;9;16;28,5;0,6;3,6;63,3;102,8;0,3;12,4;177,8;305,3;0,3;19,4;275,8;447,6;1;27,1;33,4;63,6;0,3;7,7;64,4;162,6;0,3;6,9;40,6;111,4;0,4;3,7;27,5;74,2;0,8;8;17,4;30;1,6;4,1;10,9;21,1;1,1;5,7;10,4;17,3;;;;;;;;;;;;;;2,5;1,5;1,9;1,3;1,8;4,7;2,2;9,1;14,2;25,7;1,6;8,5;9,9;19,3;2,2;1,8;7;9;14;3;0,9;2,1;4,2;10;53,9;1,9
"Welgelegen, Den Hommel";"Utrecht                                 ";"Buurt     ";"BU03440111";"1";0,7;1;10,4;37,2;4,3;0,7;4,3;2,1;8;12;4,3;2;6;9;;;;;;0,8;1,1;28;67,6;0,6;6,7;135,2;296,1;1,3;9;16,5;28,1;1,6;0;47,7;103,5;0,8;2,4;136,1;302,2;0,3;5,4;210,8;447,7;0,5;27,1;33,7;59,8;0,6;4,2;44,2;150;0,5;5,3;34,2;110;0,7;2,1;21,3;69,6;0,9;7,1;15,4;31,9;1,3;3,1;9,3;23;0,9;5,1;10,1;18,3;;;;;;;;;;;;;;1,6;2,3;2,3;0,7;0,7;5,6;2,7;9;14,4;25,3;1,6;8;10,1;18,8;2,7;1,9;7;9;14;3,4;1,3;3;4,3;10;53,9;2,8
"Oog in Al";"Utrecht                                 ";"Buurt     ";"BU03440112";"1";0,4;1;9,2;38,8;3,8;0,4;3,8;2;8;12;3,8;1,8;6;9;;;;;;0,3;1,2;25,1;70,9;0,3;6,1;115,7;293,5;1,6;9;15,8;28;1,1;0,9;26,4;101,2;0,3;3,8;100,5;300,4;0,3;5,1;128,4;439,5;0,8;26;32,4;60,5;0,3;7,4;42,7;154,2;0,2;8,8;29,6;102,7;0,3;4,4;21,4;68,1;1,3;6,8;15,3;30,2;1,8;2,8;9,5;22;1,4;4,7;9,8;17,2;;;;;;;;;;;;;;1,9;2;2,7;0,4;1,1;4,9;3;9;14,7;25;2,1;8,4;10;18;3;2,3;7;9;14;3,7;1,6;2,3;4;10;54,6;2,1
"Halve Maan-Zuid";"Utrecht                                 ";"Buurt     ";"BU03440113";"1";0,4;1;7,5;36;3,9;0,4;3,9;1,6;8;12;3,9;1,6;6;9;;;;;;0,4;1;22,2;70,6;0,4;5,9;94,6;288,9;1,5;9;15,9;28;1,3;0;16,7;100,2;0,4;3,2;71,2;295;0,4;3,2;84,6;434,6;0,7;25,7;32,5;59,8;0,2;4,6;37;147,3;0,3;7,5;27,5;98,3;0,4;4;18,6;66;1,3;5,7;15;30,3;1,7;1,7;9,3;22,3;1,3;3,7;9,7;17,3;;;;;;;;;;;;;;1,7;2,2;2,9;0,7;0,9;5,1;3,3;9;15,2;25;2,3;7,6;10;17,8;3,3;2,5;7;9;14;4;1,6;2,5;4,3;10;54,2;2,3
"Halve Maan-Noord";"Utrecht                                 ";"Buurt     ";"BU03440114";"1";0,7;1,1;8,7;37,5;3,4;0,7;3,4;1,5;7,9;12;3,4;1;5,9;9;;;;;;0,7;1,6;23,6;69,9;0,5;6,5;118,5;288,8;2;9;15;28;0,8;2,6;26,5;101,2;0,2;5,1;103,6;296,5;0,6;5,2;125,3;433,5;1,3;26;32,2;61,2;0,3;6;46,4;153,6;0,3;8,9;27,3;97,3;0,3;5,1;24,3;67,3;1,4;7,4;13,3;29,1;2,3;3,4;9;21,1;1,7;4,9;8,2;17;;;;;;;;;;;;;;2,3;1,7;2,7;0,8;1,5;4,5;3;9;14,1;25,1;2,4;9;10;18;3;2,6;7;9;14;3,8;1,5;1,9;4;10;54,8;1,8
"Lombok-Oost";"Utrecht                                 ";"Buurt     ";"BU03440121";"1";0,5;1,5;18,1;47;3,7;0,5;3,7;3;8;12;3,7;2;6;9;;;;;;0,2;8,3;43,2;76;0,1;44,9;216,2;319,6;1;9;17;29,3;0,2;6,5;93,8;103,4;0,1;26,4;235,8;309,8;0,1;41,9;392,2;455,5;0,5;28;34;66,3;0,4;8,9;92,5;171,2;0,4;5,4;57,9;122,2;0,4;3,3;32,6;81,8;0,6;8,6;19;31,3;1;4,6;12;21,5;0,7;6;11;18,2;;;;;;;;;;;;;;2,7;1;1;1,8;2,2;4,9;1,3;9;13,9;26;0,7;8;10;20;1,3;0,9;7;9;14;2,1;0,3;2,5;5;10;52,1;2,3
"Leidseweg en omgeving";"Utrecht                                 ";"Buurt     ";"BU03440122";"1";0,6;1;17,5;44,4;3,7;0,6;3,7;3;8;12;3,7;2;6;9;;;;;;0,4;5;44,9;75,1;0,5;35,6;205,9;315,4;1,4;9;16,4;29,2;0,7;2,5;93,6;104;0,4;15,9;224,1;309,4;0,4;28,3;370,7;454,8;0,6;28;34,9;64;0,2;6,7;77,9;161;0,5;4,4;50,9;117,5;0,6;1,9;32,5;76,3;0,3;8;18,1;32,3;1,1;4;11,1;23;0,3;6;11;18,3;;;;;;;;;;;;;;2;1,4;1,4;1,3;1,5;5,3;1,8;9;13,7;26;0,8;8;10;20;1,8;1;7;9;14;2,5;0,6;2,8;4,3;10;53,7;2,5
"Lombok-West";"Utrecht                                 ";"Buurt     ";"BU03440123";"1";0,3;1,8;17,7;45,2;3,7;0,3;3,7;3;8;12;3,7;2;6;9;;;;;;0,2;7,6;41;74,8;0,2;37,3;199,9;313,1;1,5;9;16,2;28,9;0,4;4,8;88,1;104,4;0,2;18,7;226,8;308,8;0,1;30,8;370,1;453,2;0,9;28;33,8;65;0,2;9,8;77,2;168,4;0,2;6;47,4;117,8;0,3;3,3;30,5;77,3;0,3;8,1;19;31;1,4;4,1;12;22;0,5;6,1;11;17,7;;;;;;;;;;;;;;2,5;1,5;1,5;1,7;2;4,8;1,7;9;14;26;1;8,4;10;20;1,7;1,3;7;9;14;2,5;0,4;2,2;4,1;10;52,9;2,1
"Laan van Nieuw-Guinea, Spinozaweg e.o.";"Utrecht                                 ";"Buurt     ";"BU03440124";"1";0,4;1,8;14,1;43,3;3,1;0,9;3,1;2,9;7,3;12;3,1;2;5,3;9;;;;;;0,4;4,6;32,5;74,7;0,3;12,9;166,4;311,9;1,8;9;15,9;28;0,2;4,7;66,2;103,8;0,2;11,1;195,6;311,9;0,2;17,1;300,8;454,5;1,5;27,8;33,5;62,6;0,3;8,1;60,5;167,2;0,3;8,7;36,7;111,9;0,3;4,7;29,7;76;0,7;9,5;18,5;28,8;2;5,5;11,5;19,8;1,2;6,7;10,9;17;;;;;;;;;;;;;;2,9;1,4;2;1,3;2,1;4,3;2,3;9,1;14,1;26;1,7;9;9,8;19,7;2,3;1,9;7;9;14;3,1;0,8;1,7;4;10;54,8;1,5
"Nieuw Engeland, Th. a. Kempisplantsoen e";"Utrecht                                 ";"Buurt     ";"BU03440131";"1";0,6;1,7;17,3;45,1;3,4;0,7;3,4;3;7,5;12;3,4;2;5,5;9;;;;;;0,5;6,1;39,3;75,2;0,3;31,8;194,5;314,1;1,3;9;16,4;28,8;0,3;5,2;83,7;104,5;0,2;17,4;224,4;311;0,2;27,3;363,2;455,3;1,1;27,8;33,7;65,9;0,3;8,8;79,7;170,9;0,3;6,7;48,5;118,3;0,5;3,8;31,1;78,8;0,7;9;18,8;29,5;1,4;5;11,8;20,2;1;6,5;10,9;17,3;;;;;;;;;;;;;;3;1,2;1,4;1,8;2,4;4,4;1,7;9,1;14,1;26;1,3;8,7;9,8;19,9;1,7;1,4;7;9;14;2,5;0,4;1,9;4,4;10;53,9;1,7
"Schepenbuurt, Cartesiusweg e.o.";"Utrecht                                 ";"Buurt     ";"BU03440132";"1";1,2;0,1;11;38,3;3,1;1,2;3,1;2;7;12;3,1;1;5;9;;;;;;1,2;0,4;24,3;69,9;1,1;0,9;112,4;288,7;1,2;9;14,6;28,1;0,7;3,2;29,3;102,1;0,8;2,2;109,7;297,6;1;2;138,2;440,2;2,3;24;33,7;66,9;0,7;4;50,5;156;0,7;3,1;29,2;98,4;0,8;1,7;23,5;68,3;1,7;7;15,3;26,2;2,6;4,6;10,1;18;2,1;4,4;8,3;15,2;;;;;;;;;;;;;;3,5;0,8;2,7;1,8;2,3;3,5;2,9;10;14,8;26;2,6;9;9;19;2,9;2,4;7;8,2;14;3,8;1,5;1,1;4;10;55;0,9
"Bedrijventerrein Lageweide";"Utrecht                                 ";"Buurt     ";"BU03440133";"1";1,9;0;3,1;21,8;2,9;2,3;2,9;1;4,6;11,9;2,9;1;2,6;8,2;;;;;;1,4;0;5,6;30,8;1,2;0,2;16,6;114;2,4;5,6;14;28,3;1,9;0;3,2;29,3;0,7;1,1;20,7;111,9;1,1;0,2;22,3;145;1,6;5,4;31;65;1,8;0;10;66,6;1,8;0;12,9;59,9;1,9;0;5;36,5;2,4;2,2;7,8;24,9;2,7;1,3;5,8;16,2;2,7;1;3,8;14;;;;;;;;;;;;;;1,5;2,3;5,8;2,4;2,9;5;4;1,9;13,3;23,4;5,3;1,4;9;16,8;5,7;3,8;2,8;8;12,3;6,2;2,5;2,5;4;10;56,9;2,8
"Wijk 02 Noordwest";"Utrecht                                 ";"Wijk      ";"WK034402  ";"1";0,5;2;17,5;39;4,3;0,6;3,1;2,3;6,9;12;4,3;1,3;4,9;9;;;;;;0,5;4,3;33,2;62,9;0,3;15,7;136,3;278;1,1;8,9;15,4;29,4;0,6;5,8;54,2;97,1;0,2;18;145,9;281,7;0,3;20,3;215,9;426,1;1,1;23,8;32,2;70,5;0,3;8,7;63,5;136,7;0,5;2,9;32,4;90,7;0,4;4,2;26,4;61;1,3;5,1;16;28,9;1,3;3,4;10,3;19,6;2,1;2,2;8,9;16,2;;;;;;;;;;;;;;2,9;1,3;2,8;1,1;1,7;2,5;1,9;8,9;14;27,1;2,2;7,4;9;19,6;2,2;2,6;6,6;8,1;14;2,7;1;1,5;4,3;10,1;52,6;1,2
"Pijlsweerd-Zuid";"Utrecht                                 ";"Buurt     ";"BU03440211";"1";0,4;2,4;26,7;43,6;3,4;0,4;2,9;2,6;7;12;3,3;1,6;5;9;;;;;;0,2;7,2;48,3;70,1;0,2;37,6;224,1;308,2;0,8;9;17;30,8;0,3;25,4;94,6;104,5;0,2;45,4;243,4;308,2;0,2;85;396,4;449,6;0,7;27;33,5;70;0,3;7,2;98,5;158,6;0,4;2,9;61,9;111;0,4;3;38,3;72,2;0,4;10,9;19;32,1;0,4;6,3;12;22,1;0,4;6,6;11;18,6;;;;;;;;;;;;;;2,8;1,1;1,1;1,3;2,1;4;0,6;9,6;13,7;28,5;0,5;8;9,1;20;0,5;0,8;7;9;14;1,5;1;2,3;5;10,5;51,1;2,1
"Pijlsweerd-Noord";"Utrecht                                 ";"Buurt     ";"BU03440212";"1";0,6;2,2;25,8;42,7;3,7;0,7;2,7;2,3;7;12;3,6;1,3;5;9;;;;;;0,5;6,8;49,9;68,5;0,4;27,1;222;303,5;1,1;9;16,9;30,1;0,5;12,5;92,9;103,9;0,3;20,7;235,8;303,7;0,2;34;389,5;447,2;1;25,4;33,1;71;0,3;8,7;93,4;153,6;0,7;2,6;54,5;105,7;0,6;4,1;36,1;69,4;0,7;9,2;18,5;31,1;0,7;5,4;11,5;21,1;0,7;4,8;10,6;18,1;;;;;;;;;;;;;;3,1;1,5;1,5;1,4;1,8;3,7;1;10;14;28,3;0,8;8;9;20;0,8;1,2;7;8,5;14;1,8;1,3;2,1;5;10,1;50,3;1,9
