"Nieuw Hoograven-Zuid";"Utrecht                                 ";"Buurt     ";"BU03440733";"1";0,9;1,2;10,7;25;3,2;0,7;3,2;1;9;13,2;3,2;1;6;8,2;;;;;;0,7;1;17,7;46,7;0,3;5;55;227,1;2,9;6;13,5;28,9;1,4;0,2;16,3;89,8;0,7;2,4;45,4;235,2;1;1,1;51,8;384,2;2,1;24,4;34,5;59,5;0,4;4,3;28,8;93,4;0,5;5;29,6;77,8;0,4;3,5;16,6;39,4;2,3;3,3;12,2;31,3;2,3;2,7;6,3;22,3;2,3;2,5;9;17,6;;;;;;;;;;;;;;1,7;2,1;3,8;1,5;4;8,5;2,8;9,2;15,5;25,3;2;7,5;11,1;18,5;2;2,5;6;9;12,5;4,3;1,9;6,5;6,2;10;49,4;1,9
"Wijk 08 Zuidwest";"Utrecht                                 ";"Wijk      ";"WK034408  ";"1";0,6;1,8;13,5;31,8;3,4;0,6;3,4;1,2;8,5;12,7;3,4;1,2;6;8,7;;;;;;0,5;3,4;27,7;57,5;0,3;14,2;128;263,6;1,3;7,5;16,6;29,2;0,7;2;36,6;101,9;0,3;9,5;110,9;274,4;0,4;7,2;163,8;427,2;1,3;25,1;35,5;60,7;0,4;5,1;49,2;125,3;0,4;4,3;41,9;97,9;0,4;3,5;24,9;56,3;1;7,4;14;32,5;1,1;3,1;8;23,5;1;5,4;9,7;18,5;;;;;;;;;;;;;;1,8;2,1;2,9;1;2,1;6,9;2,6;9,2;15,8;25,9;1,8;7,6;11,4;18,9;2;2,1;6,5;10;13,2;3,9;0,7;4,5;6,3;10;51,6;2,1
"Dichterswijk";"Utrecht                                 ";"Buurt     ";"BU03440811";"1";0,4;3,2;21,3;34,3;2,4;0,5;2,3;1,4;8;13;2,3;1,1;6;9;;;;;;0,3;3,6;44,1;63,2;0,2;11,7;212,1;288,7;1,8;8,9;17,1;30;0,5;3,4;84,5;106,8;0,6;9,2;218;300,7;0,2;18,7;359,5;446,7;1,3;27,4;35,2;64,4;0,3;6,4;77,5;138,7;0,3;6,6;60,5;106,3;0,4;2,2;33,7;64,3;0,5;11;14,9;32,5;0,5;5;8,6;22,5;0,5;8;10;18,5;;;;;;;;;;;;;;2,7;1,1;2;1,6;2,6;6,2;1,6;9,5;15,3;26,6;0,8;8;11;20,3;1;1;6,6;10;14;2,9;0,6;4,1;6,7;10;51;1,2
"Rivierenwijk";"Utrecht                                 ";"Buurt     ";"BU03440812";"1";0,5;2,7;17,9;32,1;2,4;0,4;2,5;1,2;8,9;13,7;2,5;1,2;6;9;;;;;;0,4;4,4;34,5;57,1;0,2;16,1;170,9;263,8;1,9;7;16,3;30,7;0,6;4,1;56,5;105,4;0,2;11,2;166,2;274,6;0,4;11,8;260,6;430,1;1,6;26,9;35,8;63,3;0,3;7,7;60,6;124,4;0,2;8,3;52,9;99,2;0,3;3,6;28,8;54,5;0,8;9,7;13,2;33,6;0,8;4,4;7,2;24,5;0,8;7,2;9,1;18,9;;;;;;;;;;;;;;1,9;1,2;2,5;0,9;3,1;7,1;1,7;9,5;15,8;27,1;1;8;11,4;20,8;1;1,4;6;9,9;13,9;3,2;0,7;5;6,8;10;50,9;1
"Bedrijvengebied Kanaleneiland";"Utrecht                                 ";"Buurt     ";"BU03440821";"1";1,3;0;10,3;29,5;3,6;1,2;3,7;1;9;13;3,7;1;6;8;;;;;;1;1,2;18,2;53;0,4;2,6;69,8;247,3;1,8;5,8;15,9;28,9;0,9;0,4;14,4;93,8;0,7;4,4;49,2;244,1;0,7;1,7;55;402,1;0,6;23,2;35,9;59,4;0,6;2;30,7;106,9;1,1;0,6;32,3;95,2;0,6;1,9;19,5;48,8;1,9;3,8;13,8;32;2;1,9;7,9;24;1,9;2,9;9,9;18;;;;;;;;;;;;;;0,6;2,5;3,7;1,7;3;8,1;3;8,8;16;25;2,2;7,4;12;17,9;2,2;2,7;5,9;10;12;4,5;0,9;5,5;6;10;52;2,1
"Transwijk-Zuid";"Utrecht                                 ";"Buurt     ";"BU03440822";"1";1,2;0,5;11;30,5;3,5;1,2;3,5;1;8,7;13;3,5;1;6;8,5;;;;;;0,9;0,8;22,8;55,5;0,7;4;94;255,3;1,3;6,8;16,1;29,3;1,1;0,2;19,9;101,5;0,2;4,5;63,7;263,3;0,9;1;85,4;422,5;1,4;24,9;36;59,2;0,6;2,5;39,8;120,1;1;1,2;35,8;96,1;0,8;1,6;22,1;51,7;1,3;5,8;13,7;32,3;1,4;2;7,7;23,7;1,4;4,3;9,4;18,5;;;;;;;;;;;;;;1,5;2,3;3,4;1,4;2,5;7,5;2,8;9;16;25,7;2,2;7,5;11,8;18,4;2,2;2,4;6,5;10;12,5;4,3;0,4;4,9;6,1;10;51,3;2,2
"Transwijk-Noord";"Utrecht                                 ";"Buurt     ";"BU03440823";"1";0,8;1;11,7;34,4;3,6;0,8;3,6;1,5;8;12;3,6;1,5;6;9;;;;;;0,8;1,7;30,5;60,8;0,4;13,4;136,7;276,4;0,7;8,2;17,1;28,6;1,2;0,2;39,1;103,4;0,3;9,2;115,1;291,6;0,4;3,7;168,2;445,1;1;25,7;35,1;59,6;0,3;3,3;48,1;141,8;0,3;3,6;38,2;103,9;0,3;1,8;24,8;63,3;0,3;7;15,5;32,5;0,6;2,9;9,5;22,7;0,3;5;10,6;19;;;;;;;;;;;;;;1,7;2,2;2,6;1;1,2;6,3;2,7;9;15,9;25,2;1,8;8;11;18,7;2,3;2;7;10;13,9;3,6;0,7;3,8;5,8;10;52,4;2,4
"Kanaleneiland-Zuid";"Utrecht                                 ";"Buurt     ";"BU03440831";"1";0,5;1,4;9,9;29;4;0,5;4,1;1;8,9;12,6;4,1;1;6;8;;;;;;0,3;5,1;17,5;52,7;0,3;12,8;72,3;244;1;6,8;16,2;28,7;0,3;1,9;11,5;95,3;0,3;9,3;46,6;250;0,5;2,6;51,3;399;1,4;22,3;36;58,5;0,3;5,2;34,9;106,8;0,6;1,5;32,3;91,4;0,3;4,9;20,6;50,1;1,6;5;13,7;32;1,8;2;7,7;23,8;1,6;3,7;9,4;18;;;;;;;;;;;;;;1,4;2,8;3,9;0,7;2;7,3;3,3;8,9;16;25,3;2,7;7;11,9;17,4;2,7;3;6,4;10;12;4,8;0,9;4,8;6,2;10;51,8;2,7
"Kanaleneiland-Noord";"Utrecht                                 ";"Buurt     ";"BU03440832";"1";0,6;1,3;8,9;32,6;4,2;0,6;4,2;1,2;8;11,8;4,2;1,2;6;8,8;;;;;;0,6;2,2;21,1;59,2;0,2;20,6;95,1;266,8;0,7;8;17,4;27,8;1;0,4;14,9;101,7;0,2;10,2;64,4;282,4;0,3;3,6;76,7;438,4;1;24,8;34,8;59;0,5;2,9;37,8;134,1;0,4;3;31,8;95,8;0,5;4,2;20,3;58,9;0,9;6,2;14,2;31,8;1,3;2,2;8,2;22,8;0,9;4,2;9,9;18,3;;;;;;;;;;;;;;1,8;2,8;3,1;0,8;1;6,5;3,3;9;15,9;25,1;2,4;7,4;11,1;17,6;2,8;2,6;7;9,9;13,3;4,1;0,8;3,9;5,7;10;52,2;3
"Wijk 09 Leidsche Rijn";"Utrecht                                 ";"Wijk      ";"WK034409  ";"1";0,8;1;6,4;21,7;2,1;0,9;2,1;2;4,7;11,3;2,1;1;2,7;8;;;;;;0,9;1,5;8,2;32,2;0,8;3;20,6;116;1,6;5,3;13,8;27,4;1,8;0,1;3,2;23,2;0,8;2,7;23,6;104,9;0,8;2,9;26,6;131,9;3,6;4,6;30,8;59,9;0,5;4,7;28;85,5;0,5;3,6;27;76,9;0,6;2,9;15,6;42,2;1,2;2,9;7,9;25,8;1,2;2,9;5;17,8;1,2;2;5,3;14,6;;;;;;;;;;;;;;2,3;1,3;5,2;1;2,8;6,7;5,3;0,4;12,9;24,9;1,9;2;9,3;16,2;5,5;2;2,6;8,5;12,1;6,3;1,7;2,1;4;10;57,8;1,4
"Bedrijventerrein De Wetering";"Utrecht                                 ";"Buurt     ";"BU03440911";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Terwijde-West";"Utrecht                                 ";"Buurt     ";"BU03440912";"1";1;0,3;5,7;18,9;2,6;1;2,6;1,9;4;11,7;2,6;1;2;8;;;;;;1,2;1,2;7,1;22,9;1,2;1,5;16,1;63,3;2,4;4;13,4;26,5;2,6;0;1,8;11,4;1,2;0,6;21,4;57,4;1,2;0,6;21,6;73;3,3;1;30,4;59,9;0,6;2,7;20,5;67,2;0,6;3,3;22,3;69,5;0,7;1,6;10,9;33,2;2,1;1,9;5,8;23,3;2,1;1,9;4,5;15,3;2,1;1,6;3,5;13;;;;;;;;;;;;;;2,2;1,1;6,2;0,9;3,1;7,5;5,6;0;12,9;24,1;2,6;1;9;16;6,4;2,9;2;8;12;7,3;1,4;2,6;4;10;57,9;2,1
"Terwijde-Oost";"Utrecht                                 ";"Buurt     ";"BU03440913";"1";1;0,5;4,6;22,2;1,4;0,9;1,4;2;4,3;11,2;1,4;1;2,3;8;;;;;;0,7;3,8;7,6;33,9;0,6;5,4;17,2;115,7;1,5;5,3;13,1;27,4;2,5;0;2,5;23,4;0,5;4,4;22,6;104;0,7;3,3;24,3;132,7;3,8;4,7;30,1;62,6;0,4;4,2;24,3;89,9;0,5;2,9;24,5;78,3;0,5;2,9;13,2;42,4;0,9;3;7,2;24,6;0,9;3;4,7;16,6;0,9;2;4,7;13,8;;;;;;;;;;;;;;2,1;0,8;5,1;1;3,3;6,5;5,3;0,3;13;25;2,3;2;9;16,3;5,3;2,2;2,7;8;12;6,2;0,5;1,4;4;10;58;1
"Het Zand-West";"Utrecht                                 ";"Buurt     ";"BU03440921";"1";0,7;1,2;10,3;19,3;2,4;1;2,4;2;4;11,9;2,4;1;2;8;;;;;;1,2;0,8;10,4;25,2;1,2;0,9;27,6;75,4;1,9;4;13,2;27,2;1,6;0,1;3,7;13,5;1;0,7;26;68,9;1,2;0,4;31,1;85,7;4,3;1,7;30,2;60,9;0,5;4,8;31,8;74,5;0,5;5,1;34,2;73;0,7;2,4;16,6;36,6;1,7;3,2;5,4;24,2;1,7;3,2;4;16,2;1,7;2,3;3,5;13,3;;;;;;;;;;;;;;3;0,9;5,7;1,3;2;7,1;5,6;0;12,1;25;1,3;1;9;16;5,9;2,5;2;8,2;12;6,7;1,4;2,4;4;10;58,3;1,5
"Het Zand-Oost";"Utrecht                                 ";"Buurt     ";"BU03440922";"1";0,7;1,3;6,1;23;1,7;0,8;1,7;2;4,6;11;1,7;1;2,6;8;;;;;;0,9;1,1;8,3;33,3;0,8;3,3;20,1;126,1;1,1;6;13,4;27,7;1,4;0,2;3,6;26,3;0,7;4,4;23,1;116,8;0,9;3,3;27,1;148,4;4,2;6,2;30,8;61,2;0,4;7,6;31,1;93,8;0,4;4,6;30,1;81,5;0,5;4,8;17,3;44,2;0,9;3;8;25;0,9;3;5;17;0,9;2;5,7;14;;;;;;;;;;;;;;2,5;1,1;4,9;1,2;2,4;6,3;5,1;0,5;12,8;25;1,3;2,4;9;16,3;5,1;1,8;2,9;8,4;12;5,9;1,5;1,7;4;10;58,1;0,7
"Leidsche Rijn-Centrum";"Utrecht                                 ";"Buurt     ";"BU03440931";"1";1,2;0,4;6,8;32;0,9;0,3;0,9;2;6,4;11,7;0,9;1;4,4;8,7;;;;;;0,3;1;13,3;52,1;0,2;6;34,1;216,8;0,3;9,9;14,4;28,7;1,9;0;8,3;74,1;0,2;13,2;38,2;237,7;0,2;10,8;43,7;351,4;3,6;18,2;32,5;64,2;0,4;5,1;34,5;109,6;0,5;2,5;32;87,9;0,5;3,4;20,2;54;0,7;3,7;11,7;25,2;0,7;3;7,7;17,2;0,7;2;7,8;14,2;;;;;;;;;;;;;;1,8;0,4;4;1;3,5;5,4;4,2;2,9;13;26,4;2,4;6,2;9;17,1;4,2;0,8;6,4;8,6;13,2;5;1,4;0,9;4;10;58;0,8
"Grauwaart";"Utrecht                                 ";"Buurt     ";"BU03440932";"1";0,9;0,8;5,9;27,2;1,2;0,5;1,2;2;5,6;11,3;1,2;1;3,6;8,3;;;;;;0,6;1;9,5;44,3;0,5;6;22,4;185,7;0,5;9;14,2;28,1;1,7;0;6,7;55,2;0,4;11,9;28,4;196,1;0,5;10,6;35,6;279,6;3,8;13;31,8;62,3;0,3;5;32,6;100,8;0,5;2,4;29;84,2;0,5;3,4;18,7;49,9;0,5;3,2;10,2;25,1;0,5;3;6,2;17,1;0,5;2;7,1;14,1;;;;;;;;;;;;;;2;0,8;4,3;0,8;3;5,7;4,5;2,1;13;25,4;2;4,8;9;17;4,5;1,2;5,3;8,5;12,5;5,4;1,5;1,2;4;10;58;0,6
"Hoge Weide";"Utrecht                                 ";"Buurt     ";"BU03440933";"1";0,5;1;3,9;20,4;2,1;1,4;2,1;2;5,9;11;2,1;1;3,9;8;;;;;;1,4;0;4,9;38,1;1,1;0,4;15,2;145,6;1,4;4,9;14,3;27,6;2,1;0;2,9;26,3;1,2;0,5;20,2;129,1;0,8;1,6;23,3;146;2,8;4,9;31,3;58,1;0,4;2,8;22,8;90,2;0,4;2,6;17,8;73,4;0,4;2;12,8;47,3;0,8;3,2;9,6;29,6;0,8;3;5,6;21,6;0,8;2,2;6,6;17,3;;;;;;;;;;;;;;1,6;1,7;4,8;0,7;3,2;6,4;5,1;0,3;14,1;25;2,5;2,3;10;16,1;5,1;1,1;2,1;9;12;5,9;2,7;2,1;4,3;10;57;1,8
